date,transaction_id,amount,net_worth,item_purchased,category,merchant,payment_method
2024-01-01,TXN-001,-45.67,85432.50,Groceries - Weekly Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-01-02,TXN-002,-12.99,85419.51,Netflix Subscription,Entertainment,Netflix,Credit Card
2024-01-03,TXN-003,2500.00,87919.51,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-01-04,TXN-004,-89.34,87830.17,Gas Station Fill-up,Transportation,Shell,Debit Card
2024-01-05,TXN-005,-156.78,87673.39,Dinner at Restaurant,Food & Dining,The Olive Garden,Credit Card
2024-01-06,TXN-006,-67.45,87605.94,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-01-07,TXN-007,-1200.00,86405.94,Rent Payment,Housing,Apartment Complex,Bank Transfer
2024-01-08,TXN-008,-89.99,86315.95,Internet & Cable Bill,Utilities,Comcast,Auto Pay
2024-01-09,TXN-009,-234.56,86081.39,Clothing Shopping,Shopping,Target,Credit Card
2024-01-10,TXN-010,-45.23,86036.16,Coffee & Breakfast,Food & Dining,Starbucks,Credit Card
2024-01-11,TXN-011,-78.90,85957.26,Pharmacy Prescription,Healthcare,CVS Pharmacy,Credit Card
2024-01-12,TXN-012,-125.67,85831.59,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-01-13,TXN-013,-34.99,85796.60,Book Purchase,Education,Amazon,Credit Card
2024-01-14,TXN-014,-567.89,85228.71,Car Insurance,Transportation,State Farm,Auto Pay
2024-01-15,TXN-015,2500.00,87728.71,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-01-16,TXN-016,-89.45,87639.26,Gas Station,Transportation,Chevron,Credit Card
2024-01-17,TXN-017,-145.67,87493.59,Dinner Date,Food & Dining,Italian Bistro,Credit Card
2024-01-18,TXN-018,-67.34,87426.25,Grocery Shopping,Food & Dining,Whole Foods Market,Debit Card
2024-01-19,TXN-019,-23.45,87402.80,Movie Tickets,Entertainment,AMC Theaters,Credit Card
2024-01-20,TXN-020,-189.99,87212.81,Gym Membership,Health & Fitness,Planet Fitness,Auto Pay
